target	sms	sms_length	kfold
True	good baby	9	0
True	wats da decision	16	0
True	hi durban still number	22	0
False	sms auction brand new nokia auction today auction free join take part txt nokia	79	0
True	probably come everybodys done around ltgt right	47	0
True	housemaid murderer coz man murdered ltgt th january public holiday govtinstituitions closedincluding post office	112	0
True	career tel added contact indyarockscom send free sms remove phonebook sms ltgt	78	0
True	meeting darren	14	0
False	freeringtonereply real	22	0
True	da birthdate certificate april real date today publish shall give special treat keep secret way thanks wishes	109	0
True	glad see reply	14	0
False	fantasy football back tv go sky gamestar sky active play â£ dream team scoring starts saturday register nowsky opt	114	0
True	arent coming home class right need work shower	46	0
True	hmmmbut give one day	20	0
True	thursday	8	0
True	ã¼ ask dad pick ã¼ lar ãœ wan stay meh	38	0
True	registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone	102	0
True	big chic common declare	23	0
True	nothing really making sure everybodys speed	43	0
True	told accenture confirm true	27	0
True	find way didnt include details	30	0
True	wen get spiritual deep thats great	34	0
True	ok found dis pierre cardin one looks normal costs sale	54	0
True	wn r hurt prsn close fight wit dem coz somtimes dis fight saves relation bt quiet leaves nothin relation gud eveb	113	0
True	guess useless calling something important	41	0
True	sorry ill call later	20	0
True	havent found way get another app phone eh go net cafe take job geeee need babe crave see	88	0
True	plz tell ans bslvyl sent via fullonsmscom	41	0
True	welcome caught using broken english	35	0
True	watching tv lor nice one like lor	33	0
True	family happiness	16	0
True	dai downloaded exe file run exe installing	42	0
True	bloo bloo bloo ill miss first bowl	34	0
False	claim shopping spree call	25	0
True	happy baby alright take job hope fine send kiss make smile across sea kiss kiss	79	0
True	wait msg ltgt min	17	0
True	yagoing restaurant	18	0
True	sbut catches put	16	0
True	gosh pain spose better come	27	0
True	itll tough ill	14	0
True	dear take care reaching homelove lot	36	0
True	lol know awesome phone could click delete right want	52	0
True	started searching get job dayshe great potential talent	55	0
True	long fuckin showr	17	0
True	joys father john john name joys father mandan	45	0
True	oh charge camera	16	0
True	whos say hi drugdealer	22	0
False	xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl	103	0
True	know complain num onlybettr directly go bsnl offc nd apply	58	0
True	tuition hm go one mind	22	0
False	want explicit sex secs ring costs	33	0
True	bugis oso near wat	18	0
True	dear got ltgt dollars hi hi	27	0
True	free call sir waiting	21	0
True	turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth	87	0
True	yay finally lol missed cinema trip last week	44	0
True	kall bestcongrats	17	0
True	ok lar joking wif oni	21	0
True	pls give prometazine syrup ltgt mins later feed	47	0
True	kallis dismissial test	22	0
True	dunno lei might b eatin wif frens ã¼ wan eat wait ã¼ lar	56	0
True	kkits goodwhen going	20	0
True	r meeting da ge nite tmr	24	0
True	good night dear sleepwellamptake care	37	0
False	alfie moons children need song mob tell txt tone charity nokias poly charity polys zed profit charity	101	0
True	haf enuff space got like mb	27	0
True	ya nice ready thursday	22	0
True	town ill jus take mrt later	27	0
True	time think youll need know near campus	38	0
True	much buzy	9	0
True	garbage bags eggs jam bread hannaford wheat chex	48	0
True	board working fine issue overheating also reslove still software inst pending come around clock	95	0
False	block breaker comes deluxe format new features great graphics tmobile buy â£ replying get bbdeluxe take challenge	113	0
False	text pass collect polyphonic ringtones normal gprs charges apply enjoy tones	76	0
True	pls pls find aunt nike	22	0
True	reach ten morning	17	0
True	yeah probably	13	0
True	sent jd customer service cum accounts executive mail id details contact us	74	0
True	ey calm downon theacusations itxt cos iwana know wotu r thewend haventcn agesring nething satlove j xxx	103	0
True	get cash together ill text jason	32	0
False	call use mins calls cast mob vary service provided aom aom stop ages	68	0
True	know dad back	13	0
True	going orchard laready reaching soon reaching	44	0
False	win urgent mobile number awarded â£ prize guaranteed call land line claim valid	79	0
True	k wait chikkuil send aftr ltgt mins	35	0
True	shopping eh ger toking abt syd lehhaha	38	0
True	got c lazy type forgot ã¼ lect saw pouch like v nice	52	0
True	every king crying baby every great building map imprtant r today wil reach tomorw gud	85	0
True	plural noun research	20	0
True	hi yijue regarding textbook intro algorithms second edition selling	67	0
True	shall come get pickle	21	0
True	thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worriedx	107	0
True	midnight earliest	17	0
True	okok okthenwhats todays plan	28	0
True	see forwarding message proof	28	0
True	said mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife	76	0
True	edrunk sorry iff pthis makes senrddnot dancce drum n basqihave fun x ros xxxxxxx	80	0
True	think could stop like hour roommates looking stock trip	55	0
True	hope pee burns tonite	21	0
True	â€¦ donâ€˜t worry weâ€˜ll finished march â€¦ ish	48	0
True	k dahow many page want	22	0
True	din tell jus	12	0
True	happy birthday youdearwith lots loverakhesh nri	47	0
True	love aathilove lot	18	0
True	beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves goodmorning	103	0
True	train back northampton afraid	29	0
True	erm thought contract ran october	32	0
True	way home long dry spell season would	36	0
False	httptms widelivecomindex ¡c c ringtoneâ¡	40	0
True	wat uniform get	15	0
True	crucify c told earlier	22	0
True	pen thing beyond joke wont biro masters cant ever	49	0
True	gimme lip caveboy	17	0
True	wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston	128	0
True	need campus atm could pick hour two	35	0
True	jay snickering tells x totally fucking chords speak	51	0
True	hope youâ’re much fun without see tomorrow love jess x	54	0
True	yo game almost want go walmart soon	35	0
True	ok bus come soon come otherwise tomorrow	40	0
True	ãœ write wat	12	0
True	lol ouch wish id stayed bit longer	34	0
True	thats said bad dat e gals know wat	34	0
True	ha wouldnt say didnt read anything way seemed like judgementali save fridays pub	80	0
True	thnx dude guys	14	0
True	oh yes like torture watching england	36	0
